### BCODMO_SM Biology organism terms:
NCBITaxon:_taxonomic:rank	#taxonomic rank
NCBITaxon:160621	#Lingulodinium polyedra
NCBITaxon:31213	#Littorina
NCBITaxon:101849	#Lobodon carcinophaga
NCBITaxon:1206795	#Lophotrochozoa
NCBITaxon:310840	#Loricifera
NCBITaxon:72691	#Lottia
NCBITaxon:225159	#Lottia digitalis
NCBITaxon:225169	#Lottia scabra
NCBITaxon:244865	#Macrodactyla doreensis
NCBITaxon:40674	#Mammalia
NCBITaxon:31436	#Mastocarpus papillatus
NCBITaxon:8056	#Melanogrammus aeglefinus
NCBITaxon:238744	#Menidia menidia
NCBITaxon:544504	#Millepora platyphylla
NCBITaxon:9716	#Mirounga angustirostris
NCBITaxon:9715	#Mirounga leonina
NCBITaxon:48826	#Mitraria
NCBITaxon:30281	#Molgula manhattensis
NCBITaxon:6447	#Mollusca
NCBITaxon:46703	#Montipora
NCBITaxon:48193	#Mugil cephalus
NCBITaxon:6604	#Mya arenaria
NCBITaxon:6550	#Mytilus edulis
NCBITaxon:2109251	#Naididae
NCBITaxon:6231	#Nematoda
NCBITaxon:627511	#Neogloboquadrina incompta
NCBITaxon:125957	#Neogloboquadrina pachyderma
NCBITaxon:182771	#Neoporphyra perforata
NCBITaxon:36119	#Nephtyidae
NCBITaxon:51627	#Nucella canaliculata
NCBITaxon:51627	#Nucella canaliculata
NCBITaxon:79024	#Nucella ostrina
NCBITaxon:79024	#Nucella ostrina
NCBITaxon:2985	#Ochromonas
NCBITaxon:6132	#Octocorallia
NCBITaxon:9705	#Odobenidae
NCBITaxon:315489	#Odontasteridae
NCBITaxon:136190	#Oithona
NCBITaxon:8017	#Oncorhynchus gorbuscha
NCBITaxon:8018	#Oncorhynchus keta
NCBITaxon:8023	#Oncorhynchus nerka
NCBITaxon:1902866	#Oneirophanta
NCBITaxon:7618	#Ophiuroidea
NCBITaxon:270589	#Opistognathidae
NCBITaxon:48500	#Orbicella annularis
NCBITaxon:48498	#Orbicella faveolata
NCBITaxon:48499	#Orbicella franksi
NCBITaxon:46134	#Orbulina universa
NCBITaxon:6670	#Ostracoda
NCBITaxon:9702	#Otariidae
NCBITaxon:39832	#Oweniidae
NCBITaxon:1684132	#Palaeonemertea
NCBITaxon:373319	#Pantopoda
NCBITaxon:251440	#Paraonidae
NCBITaxon:87159	#Pelvetiopsis limitata
NCBITaxon:1028814	#Petaloconchus keenae
NCBITaxon:33656	#Phaeocystis
NCBITaxon:9720	#Phoca vitulina
NCBITaxon:9709	#Phocidae
NCBITaxon:67897	#Phoronis psammophila
NCBITaxon:2593424	#Phyllangia americana
NCBITaxon:6218	#Pilidiophora
NCBITaxon:204334	#Plexaurella dichotoma
NCBITaxon:204335	#Plexaurella nutans
NCBITaxon:46730	#Pocillopora
NCBITaxon:46731	#Pocillopora damicornis
NCBITaxon:46732	#Pocillopora meandrina
NCBITaxon:203993	#Pocillopora verrucosa
NCBITaxon:46729	#Pocilloporidae
NCBITaxon:6341	#Polychaeta
NCBITaxon:271679	#Polykrikos kofoidii
NCBITaxon:6040	#Porifera
NCBITaxon:46719	#Porites
NCBITaxon:104758	#Porites astreoides
NCBITaxon:104758	#Porites astreoides
NCBITaxon:126659	#Porites cylindrica
NCBITaxon:104759	#Porites lobata
NCBITaxon:262591	#Porites rus
NCBITaxon:46718	#Poritidae
NCBITaxon:80991	#Premnas biaculeatus
NCBITaxon:1218	#Prochlorococcus
NCBITaxon:2608131	#Prymnesiophyceae
NCBITaxon:371655	#Psammocora digitata
NCBITaxon:428427	#Pseudanthias pleurotaenia
NCBITaxon:41953	#Pseudo-nitzschia
NCBITaxon:119371	#Pseudocalanus
NCBITaxon:1428006	#Pseudodiploria strigosa
NCBITaxon:1428006	#Pseudodiploria strigosa
NCBITaxon:287903	#Pseudoplexaura flagellosa
NCBITaxon:287902	#Pseudoplexaura wagenaari
NCBITaxon:6545	#Pteriomorphia
NCBITaxon:185881	#Pterois
NCBITaxon:185886	#Pterois volitans
NCBITaxon:977783	#Pteropoda
NCBITaxon:2611279	#Radiolaria
NCBITaxon:29652	#Ruppia maritima
NCBITaxon:127578	#Sargassum polycystum
NCBITaxon:8247	#Scaridae
NCBITaxon:6125	#Scleractinia
NCBITaxon:183654	#Scophthalmus aquosus
NCBITaxon:1979180	#Scotoplanes
NCBITaxon:2665651	#Scotoplanes globosa
NCBITaxon:119203	#Selachimorpha
NCBITaxon:30871	#Serranidae
NCBITaxon:130672	#Siderastrea siderea
NCBITaxon:130672	#Siderastrea siderea
NCBITaxon:46706	#Siderastreidae
NCBITaxon:6433	#Sipuncula
NCBITaxon:6440	#Sipunculidae
NCBITaxon:9231	#Spheniscidae
NCBITaxon:29706	#Sporobolus alterniflorus
NCBITaxon:35579	#Stenotomus chrysops
NCBITaxon:230562	#Stichodactyla gigantea
NCBITaxon:475174	#Stichodactyla haddoni
NCBITaxon:645706	#Stichodactyla mertensii
